,company,car,tream,kilometer,year,price
115,hyundai,azera,6cylinder,109000,2011,1050000000
116,kia,sportage,basic,0,2012,950000000
117,chery,arrizo5te,at-excellent,21000,1399,530000000
118,kia,opirus,,330000,2009,-1
119,pride,131,se,0,1398,-1
120,hyundai,tucson,ix35-2.0l-4wd,56000,2017,-1
121,peugeot,206sd,v8,112000,1396,210000000
122,toyota,prius,b,120000,2016,780000000
123,shahin,g,,0,1400,345000000
124,peugeot,207,at,3000,1399,415000000
125,pride,111,se,150000,1394,86000000
126,pride,sedan,,200000,1387,59000000
127,hyundai,azera,6cylinder,120000,2012,1030000000
128,quick,manual,r,0,1400,168000000
129,peugeot,206,ir-type5,200000,1390,-1
130,toyota,camry,hybrid-xle,41000,2016,1780000000
131,hyundai,sonata,4cyl-automatic,100000,2015,1150000000
132,peugeot,207,automatic-panorama,0,1400,400000000
133,hyundai,azera,6cylinder,350000,2007,548000000
134,mvm,110,3cylinder,98500,1389,-1
135,peugeot,pars,lx,5700,1399,285000000
136,quick,manual,r,0,1400,173000000
137,peugeot,206sd,v8,125000,1393,168000000
138,quick,manual,,12000,1399,160000000
139,hyundai,tucson,ix35-2.4l,78000,2014,990000000
140,saina,ex,mt,0,1400,-1
141,hyundai,santafe,ix45-2400cc,148000,2014,1020000000
142,renault,tondar90,plus-at,68000,1397,380000000
143,bmw,x4,28,16000,2017,4100000000
144,peugeot,pars,lx,70000,1397,240000000
145,hyundai,tucson,ix35-2.0l-4wd,95000,2017,1435000000
146,peugeot,405,slx,33000,1398,223000000
147,mazda,323,mt,0,1385,-1
148,pride,131,se,80000,1394,100000000
149,lexus,nx,hybrid-300h,0,2017,3300000000
150,bmw,i,series-i8,0,2015,-1
151,peugeot,207sd,at,66500,1398,358000000
152,mercedes,benz,e-class-e300,109000,2012,2200000000
153,mercedes,benz,s-class-s500,39500,2011,4500000000
154,hyundai,sonata,hybrid-gls,46000,2017,-1
155,toyota,prado,4doors-6cylinderoffroad,132000,2010,4150000000
156,toyota,c,hr-hybrid,13000,2017,1800000000
157,lexus,nx,hybrid-300h,65000,2017,-1
158,peugeot,206sd,v9,300000,1387,138000000
159,kia,optima,gtline,0,2017,-1
160,hyundai,sonata,4cyl-automatic,88000,2014,1046500000
161,hyundai,sonata,4cyl-automatic,84000,2016,1330000000
162,ssang,yong,tivoli-armour,40000,2018,-1
163,dongfeng,h30,cross,40000,1397,320000000
164,toyota,rav4,4wd,80000,2016,1830000000
165,toyota,hilux,high-at,91000,2014,1700000000
166,renault,talisman,e3,38000,2018,-1
167,renault,talisman,e3,67000,2017,1310000000
168,bmw,x4,28,65000,2016,3800000000
169,samand,lx,basic,72000,1392,137000000
170,nissan,x,trail,26700,2017,1550000000
171,renault,megan,ir-2000,150000,1391,310000000
172,hyundai,accent,full,127000,2014,550000000
173,kia,cerato,ir-2000-optional,95000,1396,630000000
174,kia,cerato,ir-2000-basic,110000,1395,510000000
175,hyundai,santafe,ix45-2700cc,165000,2010,850000000
176,chery,arrizo5,at-luxury,40000,1397,-1
177,nissan,patrol,2door-ir,119000,1380,-1
178,lexus,rx,350,148000,2010,1890000000
179,dena,,,35000,1398,280000000
180,hyundai,elantra,2.0l,18000,2018,1290000000
181,renault,tondar90,at,0,1394,-1
182,pazhan,pickup2cab,,200000,1382,225000000
183,toyota,rav4,4wd,91000,2016,2100000000
184,changan,cs35,ir,50000,1397,-1
185,mvm,x33,mt,117000,1393,255000000
186,kia,optima,basic,70000,2015,-1
187,dena,,,45000,1397,-1
188,mvm,530,,130000,1394,185000000
189,pride,hatchback,,321356,1385,45000000
190,hyundai,tucson,ix35-2.7l,260000,2010,620000000
191,jac,j4,,0,1400,400000000
192,hyundai,santafe,ix45-2400cc,9000,2017,-1
193,peugeot,pars,at,6000,1399,365000000
194,tiba,hatchback,ex,2500,1400,-1
195,hyundai,santafe,ix45-2400cc,40000,2015,1600000000
196,tiba,hatchback,ex,0,1400,152000000
197,kia,cerato,ir-2000-optional,47000,1396,700000000
198,ssang,yong,new-actyon-luxury,100000,2014,770000000
199,peugeot,405,glx,99000,1394,146000000
200,peugeot,207sd,at,58000,1397,350000000
201,toyota,prado,4doors-6cylinderonroad,230000,2010,2690000000
202,renault,tondar90,e2,125000,1392,208000000
203,mvm,315,hatchback-sport,90000,1396,190000000
204,toyota,c,hr-hybrid,22000,2017,1790000000
205,peugeot,2008,,10700,1397,850000000
206,peugeot,206,ir-type2,15300,1399,225000000
207,tara,manual,,0,1400,-1
208,hyundai,santafe,ix45-2400cc,27000,2017,1800000000
209,peugeot,206sd,v8,30000,1398,225000000
210,peugeot,2008,,0,1399,975000000
211,pride,131,se,165000,1394,91000000
212,kia,sportage,gt-line,55000,2017,1550000000
213,dena,,,0,1399,305000000
214,peugeot,207,mt,0,1400,-1
215,renault,tondar90,e2,173000,1390,160000000
216,citroen,xantia,2.0-sx,170000,1388,190000000
217,peugeot,pars,lx,0,1400,285000000
218,peugeot,207,mt,0,1400,-1
219,changan,cs35,ir,0,1397,-1
220,saina,manual,s,0,1400,-1
221,renault,megan,ir-2000,147000,1390,340000000
222,peugeot,pars,lx,14000,1398,285000000
223,peugeot,207,mt,40000,1396,-1
224,bmw,x6,50,50000,2013,3800000000
225,amico,asna,4door,0,1400,-1
226,mazda,3,sedan-2.0l-type4,20000,1396,935000000
227,kia,optima,basic,150000,2014,1150000000
228,mitsubishi,asx,type4,142000,2012,-1
229,dena,,,28000,1398,-1
230,renault,tondar90,plus-at,50000,1396,-1
231,renault,sandero,stepway-at,31000,1396,-1
232,mazda,3,sedan-2.0l-type4,40000,1396,860000000
233,renault,tondar90,plus-at,62000,1396,288000000
234,citroen,c5,,150000,2009,530000000
235,haima,s7,1.8l-turbo,72000,1397,641000000
236,peugeot,206,ir-type2,6000,1400,-1
237,hyundai,avante,at,55000,1387,250000000
238,renault,sandero,stepway-at,73000,1396,430000000
239,peugeot,pars,lx,30000,1399,276000000
240,hyundai,santafe,ix45-2400cc,73000,2015,1400000000
241,rigan,coupa,flagship,21000,1397,905000000
242,peugeot,207,at,25000,1399,400000000
243,peugeot,207,manual-panorama,0,1400,330000000
244,jac,j4,,43000,1397,-1
245,toyota,rav4,4wd,56000,2015,1780000000
246,nissan,patrol,4door-ir-6cylinder,100000,1376,220000000
247,mvm,315,hatchback-sport,65000,1398,255000000
248,quick,manual,,50000,1398,154000000
249,tiba,hatchback,ex,70000,1395,-1
250,toyota,gt86,,14000,2013,-1
251,suzuki,grand,vitara-ir-at-2.4,48000,1396,910000000
252,jac,s5,at-2000,50000,1396,575000000
253,kia,cerato,ir-2000-optional,85000,1396,640000000
254,kia,cerato,ir-2000-optional,43000,1396,720000000
255,brilliance,h330,at,8000,1396,335000000
256,nissan,patrol,2door-ir,277000,1376,255000000
257,kia,sorento,gtline,90000,2016,1840000000
258,peugeot,206,ir-type2,210000,1390,141000000
259,toyota,prado,4doors-6cylinderonroad,90000,2010,-1
260,peugeot,405,glx-cng,263000,1388,100000000
261,hyundai,tucson,ix35-2.4l,206000,2013,760000000
262,pazhan,2doors,,350000,1375,-1
263,kia,cerato,ir-2000-basic,70000,1396,-1
264,kia,sorento,gtline,0,2018,-1
265,peugeot,508,gtline,0,2017,1650000000
266,hyundai,tucson,ix35-2.4l,84000,2014,1050000000
267,pride,131,se,0,1398,128000000
268,peugeot,206,ir-type2,42000,1398,210000000
269,hyundai,santafe,ix45-2400cc,63000,2017,1750000000
270,hyundai,santafe,ix45-2400cc,0,2018,-1
271,nissan,zamyad,pickup-cng,0,1398,-1
272,hyundai,tucson,ix35-2.4l,130000,2014,1050000000
273,toyota,yaris,,7000,2016,980000000
274,hyundai,azera,6cylinder,270000,2008,-1
275,kia,cerato,ir-2000-optional,47500,1397,745000000
276,toyota,rav4,4wd,7400,2018,2720000000
277,saina,manual,s,0,1400,-1
278,peugeot,207,mt,100000,1397,235000000
279,chery,tiggo5,at-excellent,157000,1396,500000000
280,kia,sportage,basic,112000,2012,-1
281,chery,tiggo5,ie,150000,1397,-1
282,mazda,3,sedan-2.0l-type4,93000,1395,850000000
283,mazda,3,sedan-2.0l-type4,55000,1396,835000000
284,tiba,hatchback,ex,0,1399,-1
285,peugeot,roa,basic,91000,1388,60000000
286,dena,plus,basic-manual,4700,1399,335000000
287,renault,pars,tondar,110000,1396,290000000
288,kia,sorento,basic,85000,2017,2000000000
289,peugeot,pars,mt,250000,1392,150000000
290,kia,cerato,koup,0,2010,470000000
291,peugeot,206,ir-type5,135000,1394,180000000
292,dena,,,28000,1397,266000000
293,peugeot,206sd,v8,155000,1393,-1
294,kmc,k7,,0,1400,1320000000
295,samand,lx,ef7,90200,1397,175500000
296,hyundai,sonata,4cyl-automatic,57000,2015,1250000000
297,haima,s7,1.8l-turbo,0,1398,750000000
298,pride,131,se,80000,1396,100000000
299,hyundai,santafe,ix45-2400cc,50000,2015,1500000000
300,chery,tiggo5,at-luxury,99000,1395,460000000
301,pazhan,pickup2cab,,70000,1390,-1
302,pick,up,arisan,30000,1398,182000000
303,hyundai,sonata,hybrid-gls-plus,0,2018,1930000000
304,haima,s7,1.8l-turbo,27000,1398,705000000
305,quick,manual,r,0,1400,175000000
306,runna,lx,,0,1399,-1
307,pride,111,se,30000,1398,130000000
308,peugeot,pars,mt,0,1400,250000000
309,peugeot,508,gtline,20000,2017,1300000000
310,bmw,x4,28,54000,2016,3700000000
311,bmw,5,series-sedan-528i,84000,2013,2100000000
312,baic,sabrina,hatchback-ir,60000,1395,245000000
313,bmw,z4,28,145000,2014,1100000000
314,mazda,3,sedan-2.0l-type4,75000,1392,810000000
315,kia,optima,basic,130000,2013,940000000
316,mazda,3,sedan-2.0l-type4,22000,1398,980000000
317,porsche,boxster,6cylinder,180000,2012,1200000000
318,peugeot,pars,mt,174000,1388,120000000
319,bmw,x4,28,55000,2016,-1
320,toyota,landcruiser,4door-v6-4000cc,200000,2010,-1
321,jac,j4,,25000,1398,-1
322,citroen,xantia,2.0-sx,270000,1385,195000000
323,samand,lx,basic,153000,1392,135000000
324,mazda,3,sedan-2.0l-type4,65000,1395,820000000
325,pride,sedan,,300000,1381,35000000
326,peugeot,206,ir-type2,72000,1396,173000000
327,haima,s7,1.8l-turbo,130000,1396,528000000
328,quick,manual,r,0,1400,173500000
329,toyota,prado,4doors-6cylinderoffroad,125000,2011,3300000000
330,renault,megan,1600,500000,2006,170000000
331,rigan,coupa,flagship,20000,1397,900000000
332,jac,s5,at-2000,1270,1399,-1
333,samand,lx,ef7,0,1400,255000000
334,chery,arrizo5,at-excellent,90000,1396,400000000
335,lifan,620,1.6,145000,1391,150000000
336,hyundai,avante,mt,225000,1387,295000000
337,peugeot,405,glx,200000,1389,95000000
338,samand,lx,basic,40000,1398,200000000
339,renault,pars,tondar,63000,1396,-1
340,hyundai,tucson,ix35-2.0l-4wd,38000,2016,-1
341,brilliance,h330,at-1.65,75000,1397,340000000
342,hyundai,azera,6cylinder,124000,2007,525000000
343,peugeot,207sd,at,53000,1397,348000000
344,hyundai,santafe,ix45-2400cc,50000,2016,-1
345,pride,151,se,0,1400,148000000
346,pride,sedan,,248000,1386,63500000
347,capra,4door,4wd,220000,1391,320000000
348,peugeot,206,ir-type6,185000,1387,138000000
349,samand,lx,ef7,75000,1397,205000000
350,pride,111,se,100000,1393,95000000
351,renault,tondar90,e2,107000,1395,248000000
352,besturn,b50,,123000,1393,380000000
353,pride,131,se,35000,1398,107000000
354,tiba,hatchback,ex,0,1400,-1
355,quick,manual,,0,1400,171000000
356,toyota,camry,gl,52000,2013,1100000000
357,peugeot,207,at,45000,1397,326000000
358,lexus,nx,hybrid-300h-f-sport,69000,2016,2650000000
359,suzuki,grand,vitara-ir-at-2.4,29500,1394,830000000
360,tiba,hatchback,ex,0,1400,-1
361,dena,plus,turbo-automatic,0,1400,435000000
362,suzuki,grand,vitara-ir-at-2.4,30000,1397,-1
363,toyota,corolla,gli,40000,2015,1180000000
364,geely,gc6,excellent,6900,1398,290000000
365,peugeot,pars,at,160000,1390,200000000
366,samand,lx,ef7,420000,1390,115000000
367,tiba,sedan,sx,7000,1399,-1
368,hyundai,tucson,ix35-2.4l,130000,2014,970000000
369,nissan,pickup,ir-2cab,62800,1386,450000000
370,kia,sorento,basic,79000,2016,1750000000
371,bmw,5,series-sedan-530i,4500,2018,5750000000
372,peugeot,pars,at,151000,1390,-1
373,mvm,x22,mt-sport-excellent,25000,1397,355000000
374,mercedes,benz,c-class-c200,200000,2007,-1
375,hyundai,azera,4cylinder,30000,2019,2300000000
376,kia,sportage,basic,94000,2014,1100000000
377,toyota,aurion,grande,81000,2011,1450000000
378,peykan,pickup,gas,231000,1390,77000000
379,bmw,3,series-convertible-335i,0,2009,1200000000
380,toyota,rav4,4wd,89000,2014,1530000000
381,mercedes,benz,e-class-ir-e200,119500,1389,-1
382,toyota,prado,4doors-4cylinder,220000,2008,-1
383,kia,sorento,6cylinder,130000,2013,1249000000
384,peugeot,pars,elx,270000,1384,130000000
385,renault,tondar90,e2,68000,1395,248000000
386,quick,manual,r,0,1400,173000000
387,peugeot,301,,69000,2016,-1
388,samand,lx,basic,150000,1397,194000000
389,peugeot,2008,,21000,1397,815000000
390,hyundai,azera,6cylinder,175000,2010,690000000
391,hyundai,genesis,,160000,2010,-1
392,hyundai,tucson,ix35-2.4l,180000,2012,825000000
393,haval,h2,,3000,1397,670000000
394,peugeot,roa,g2,200000,1389,65000000
395,volkswagen,gol,,50834,1389,-1
396,peugeot,206,ir-type2,70000,1396,180000000
397,bmw,3,series-sedan-318i,250000,2005,388000000
398,renault,tondar90,e1,220000,1389,175000000
399,nissan,maxima,ir-at,121000,1383,495000000
400,peugeot,405,slx,198000,1391,143000000
401,bmw,7,series-730li,50000,2017,5400000000
402,kia,sportage,basic,48000,2015,1320000000
403,kia,sorento,gtline,70000,2017,-1
404,peugeot,pars,mt,19000,1399,240000000
405,nissan,x,trail,59000,2018,2000000000
406,peugeot,405,glx,0,1398,210000000
407,renault,koleos,,42000,2017,1600000000
408,hyundai,elantra,2.0l,6500,2018,1300000000
409,quick,manual,r,0,1400,175000000
410,pick,up,arisan,0,1399,183000000
411,dongfeng,h30,cross,700000,1396,300000000
412,alfa,romeo,mito,113000,2014,610000000
413,brilliance,h230,mt,40000,1397,210000000
414,samand,lx,basic,30000,1398,-1
415,peugeot,405,glx-cng,99000,1395,-1
416,peugeot,207,mt,0,1400,-1
417,brilliance,h230,at,74000,1396,-1
418,nissan,patrol,4door-ir-6cylinder,589000,1371,185000000
419,kia,sportage,basic,114000,2013,855000000
420,peugeot,405,glx-cng,25000,1399,225000000
421,peugeot,206,ir-type2,1500,1399,217000000
422,renault,captur,,36000,2017,825000000
423,runna,plus,,3000,1399,240000000
424,peugeot,206sd,v8,13000,1399,290000000
425,peugeot,207,at,80000,1396,298000000
426,nissan,patrol,4door-ir-6cylinder,230000,1369,152000000
427,dena,plus,turbo-automatic,0,1399,440000000
428,peugeot,206,ir-type2,180000,1390,130000000
429,hyundai,azera,6cylinder,320000,2007,-1
430,hyundai,elantra,1.8l,113800,2014,730000000
431,peugeot,206,ir-type5,21000,1399,255000000
432,kia,cerato,2000,40000,2018,1300000000
433,pride,151,plus,0,1400,165000000
434,peugeot,206,ir-type2,66000,1397,198000000
435,dena,,,115000,1396,259000000
436,mercedes,benz,e-class-e250,104000,2014,3100000000
437,porsche,macan,,18000,2017,-1
438,peugeot,206,ir-type2,80000,1388,130000000
439,peugeot,pars,lx,18000,1399,265000000
440,mg,gs,,37000,2016,-1
441,bmw,5,series-sedan-528i,92000,2015,2400000000
442,quick,manual,,9000,1399,-1
443,renault,sandero,mt,52000,1397,335000000
444,hyundai,elantra,1.8l,40000,2016,1050000000
445,dena,,,0,1399,297000000
446,peugeot,207,automatic-panorama,0,1400,435000000
447,renault,talisman,e3,45000,2017,-1
448,peugeot,207,at,16000,1399,-1
449,lexus,nx,200t-f-sport,7000,2017,3280000000
450,peugeot,206sd,v8,80000,1397,-1
451,brilliance,h320,at,62000,1396,320000000
452,bmw,3,series-sedan-328i,85000,2013,-1
453,lexus,nx,hybrid-300h-f-sport,26000,2017,-1
454,pride,141,basic,260000,1386,52000000
455,mercedes,benz,s-class-s350,77000,2009,-1
456,volkswagen,tiguan,,55000,2018,-1
457,dongfeng,h30,cross,50000,1396,-1
458,peugeot,405,glx,120000,1385,120000000
459,renault,tondar90,e2,55000,1397,330000000
460,hyundai,santafe,ix45-2700cc,206000,2012,1350000000
461,peugeot,206,ir-type2,68000,1396,187000000
462,toyota,prado,4doors-6cylinderonroad,57000,2013,-1
463,peugeot,206,ir-type2,42000,1398,211000000
464,lexus,nx,hybrid-300h,23000,2017,-1
465,renault,sandero,at,65000,1395,350000000
466,saina,ex,mt,0,1399,152000000
467,peugeot,206sd,v8,570000,1396,235000000
468,mvm,315,hatchback-basic,295000,1391,140000000
469,pride,131,se,0,1398,132000000
470,toyota,landcruiser,pickup-2door-4.5f,20000,2016,-1
471,mazda,3,sedan-2.0l-type4,0,1398,1250000000
472,rigan,coupa,flagship,50000,1397,800000000
473,hyundai,tucson,ix35-2.4l,97000,2015,1130000000
474,mazda,3,sedan-2.0l-type4,90000,1396,780000000
475,pride,131,se,45000,1398,116000000
476,kia,sportage,basic,125000,2014,1050000000
477,ssang,yong,tivoli-elite,94000,2016,610000000
478,hyundai,santafe,ix45-2400cc,85000,2017,1650000000
479,hyundai,veloster,,36000,2015,710000000
480,hyundai,sonata,4cyl-automatic,194000,2011,800000000
481,pride,131,se,15000,1399,132000000
482,kia,sportage,basic,46000,2014,920000000
483,nissan,zamyad,pickup-cng,140000,1393,-1
484,shahin,g,,0,1400,365000000
485,peugeot,206sd,v8,80000,1396,234000000
486,peugeot,405,slx,70000,1397,206000000
487,hyundai,santafe,ix45-2400cc,20000,2017,-1
488,tiba,sedan,sx,0,1400,150000000
489,hyundai,elantra,2.0l,83000,2017,1100000000
490,lexus,es,250,82000,2014,1950000000
491,hyundai,santafe,ix45-2700cc,140000,2007,730000000
492,dongfeng,h30,cross,44000,1396,296000000
493,renault,megan,ir-2000,0,1390,355000000
494,saina,ex,mt,0,1400,160000000
495,peugeot,207,at,30000,1397,340000000
496,hyundai,santafe,ix45-2400cc,40000,2017,1790000000
497,suzuki,grand,vitara-ir-at-2.4,168000,1391,620000000
498,peugeot,pars,mt,90000,1397,205000000
499,kia,cerato,ir-2000-optional,50000,1396,675000000
500,peugeot,206,ir-type5,213000,1390,250000000
501,peugeot,206,ir-type2,19000,1399,225000000
502,citroen,xantia,2.0-sx,180000,1387,260000000
503,hyundai,azera,4cylinder,7000,2019,-1
504,hyundai,accent,blue,0,2015,620000000
505,bmw,3,series-sedan-325i,175000,2010,900000000
506,baic,sabrina,hatchback-ir,0,1398,335000000
507,toyota,rav4,4wd,145000,2014,1370000000
508,peugeot,pars,at,0,1398,-1
509,mazda,6,,70000,2014,1500000000
510,lexus,rx,350,141000,2011,1840000000
511,toyota,prius,2,146000,2017,920000000
512,toyota,landcruiser,4door-v6-4000cc,0,2012,4800000000
513,bmw,x3,28,48000,2016,-1
514,mercedes,benz,e-class-e200,4000,2017,6300000000
515,bmw,x4,28,29000,2017,4500000000
516,hyundai,sonata,4cyl-automatic,109000,2014,960000000
517,bmw,x6,35,156000,2011,2200000000
518,renault,sandero,at,50000,1397,395000000
519,bmw,5,series-sedan-530i,0,2018,6000000000
520,jac,s5,at-2000,40000,1398,675000000
521,kia,cerato,ir-2000-optional,33000,1397,690000000
522,peugeot,206,ir-type5,20000,1399,277000000
523,runna,plus,,0,1400,350000000
524,hyundai,sonata,hybrid-gls-plus,50000,2017,-1
525,bmw,x4,28,0,2017,-1
526,bmw,3,series-sedan-330i,19000,2018,-1
527,kia,optima,gtline,70000,2017,1640000000
528,bmw,x4,28,41000,2017,-1
529,bmw,4,series-grancoupe-428i,65000,2015,-1
530,bmw,5,series-sedan-530i,6000,2018,-1
531,mini,cooper,5doors-s,2894,2018,-1
532,dena,plus,turbo-automatic,0,1399,-1
533,tiba,hatchback,ex,38000,1396,129000000
534,mvm,110s,luxury,0,1395,115000000
535,hyundai,sonata,4cyl-automatic,66000,2014,1050000000
536,lexus,rx,200t-luxury,36000,2017,4650000000
537,mercedes,benz,c-class-c300,78000,2013,1300000000
538,hyundai,santafe,ix45-2400cc,48000,2017,1980000000
539,bmw,5,series-sedan-528i,0,2014,2350000000
540,jac,j5,at,90000,1396,306000000
541,mercedes,benz,c-class-c200,98000,2012,1650000000
542,bmw,5,series-sedan-528i,69000,2014,-1
543,toyota,prado,4doors-6cylinderonroad,150000,2010,2900000000
544,kia,cerato,ir-2000-optional,115000,1396,650000000
545,bmw,x3,28,75000,2016,-1
546,mercedes,benz,s-class-s500,78000,2010,4250000000
547,nissan,maxima,ir-at,190000,1389,570000000
548,mercedes,benz,c-class-c230,200000,2009,1350000000
549,bmw,x3,30,200000,2008,880000000
550,toyota,prado,2doors-4cylinder,125000,2012,2350000000
551,bmw,7,series-730li,32000,2017,5750000000
552,peugeot,2008,,19000,1397,820000000
553,hyundai,azera,6cylinder,66000,2014,800000000
554,hyundai,santafe,ix45-2400cc,64000,2017,1850000000
555,jac,j5,mt,55000,1396,285000000
556,pride,131,sl,230000,1390,68000000
557,opel,corsa,mt,100000,1995,110000000
558,nissan,x,trail,27000,2017,-1
559,bmw,5,series-sedan-530i,31000,2017,4700000000
560,mvm,x22,mt-luxury,40000,1397,340000000
561,peugeot,207,mt,0,1399,325000000
562,kia,sorento,gtline,35000,2017,2420000000
563,pride,111,se,70000,1395,110000000
564,toyota,landcruiser,4door-v6-4000cc,32000,2012,-1
565,renault,sandero,at,51000,1396,340000000
566,peugeot,206,ir-type5,128000,1396,187000000
567,mitsubishi,pajero,4door-6cylinder,40000,2017,3200000000
568,hyundai,sonata,4cyl-automatic,119000,2011,800000000
569,renault,tundar,pickup,110000,1394,230000000
570,pride,111,se,45000,1396,120000000
571,mercedes,benz,s-class-s500,85000,2011,4800000000
572,peugeot,206,ir-type2,0,1400,240000000
573,kia,rio,hatchback,89000,2016,760000000
574,volkswagen,passat,,26000,2018,2280000000
